iterations,fitness,time,fevals
0,0.0409154936548,0.0049937,654
10,0.0511935997345,0.010310528,1206
20,0.0512826530269,0.014792228,1754
30,0.0569334171988,0.020006656,2310
40,0.0720778157733,0.026110256,2855
50,0.0718890794484,0.030358143,3403
60,0.0734962414246,0.034165711,3951
70,0.0715499272654,0.03825943,4496
80,0.0765552177365,0.042635885,5042
90,0.0749512851112,0.048060233,5592
100,0.071963253371,0.0538737,6141
110,0.0694415147031,0.058006103,6686
120,0.0707029424106,0.062434897,7229
130,0.0721164351639,0.06625043,7782
140,0.0711902769205,0.070603562,8341
150,0.0759367299229,0.074951573,8881
160,0.0710087437219,0.079329167,9429
170,0.0802230498979,0.083908147,9977
180,0.0787942488355,0.087625262,10524
190,0.0811680107605,0.09121324,11065
200,0.0841120232713,0.095565233,11617
210,0.0802562338232,0.098951255,12169
220,0.082355684951,0.102472103,12713
230,0.0853594109312,0.106266018,13263
240,0.0881627400627,0.111137976,13814
250,0.0854331432962,0.11455358,14363
260,0.0946373479562,0.119263973,14908
270,0.0984932831288,0.123138669,15457
280,0.101982838994,0.12695534,16011
290,0.101493849783,0.130435229,16562
300,0.101493849783,0.134129588,17107
310,0.101890337543,0.137393868,17651
320,0.104859707502,0.141795924,18196
330,0.10372498305,0.144619885,18748
340,0.104282775912,0.147708378,19299
350,0.105804415587,0.151165511,19838
360,0.102472181108,0.154710822,20392
370,0.0998652703022,0.158082053,20941
380,0.101541639757,0.16200283,21493
390,0.0952855565802,0.165684674,22044
400,0.104674840332,0.169346038,22589
410,0.103071126296,0.173126869,23139
420,0.092540114012,0.178971625,23681
430,0.0940258350076,0.182962375,24232
440,0.0910219099917,0.186441694,24774
450,0.0980125802194,0.190128657,25318
460,0.093486270001,0.193899816,25868
470,0.0888218415925,0.200144501,26418
480,0.0883105861313,0.211566067,26970
490,0.0844285027969,0.217937613,27512
500,0.0835135027639,0.223631045,28058
510,0.0754758375448,0.227449422,28608
520,0.0875925964168,0.232162659,29148
530,0.0785596967435,0.237261034,29693
540,0.0859345271136,0.241481046,30249
550,0.0829901711321,0.246554959,30797
560,0.0897861955642,0.250247611,31343
570,0.0734262843223,0.254534183,31898
580,0.0818480208061,0.259059687,32451
590,0.0815133323692,0.26347824,32994
600,0.0819215460082,0.26887585,33542
610,0.0774965229925,0.275556302,34092
620,0.0861960545736,0.280291157,34637
630,0.0842369070076,0.284317178,35187
640,0.075764220992,0.288477456,35733
650,0.0785833142604,0.292028456,36280
660,0.0816303834676,0.29579165,36826
670,0.089455902697,0.299839858,37369
680,0.0891217817788,0.303179231,37919
690,0.0915093837268,0.306407102,38465
700,0.0880173672206,0.30967764,39009
710,0.0936540101471,0.31425662,39554
720,0.0931306832226,0.318588703,40105
730,0.0955746623936,0.324921565,40655
740,0.101792102801,0.328907764,41197
750,0.108315080497,0.332685749,41742
760,0.105209734509,0.336454064,42295
770,0.0916087738348,0.339667713,42843
780,0.0899631804187,0.343652205,43389
790,0.0930511383263,0.347088857,43945
800,0.0973870713527,0.350999963,44490
810,0.0912844670592,0.355408277,45029
820,0.0906785001287,0.359871204,45579
830,0.0868308112173,0.364607766,46121
840,0.0963387147681,0.369561644,46664
850,0.0842944223709,0.374348269,47211
860,0.0765431950594,0.37913148,47756
870,0.0840656429159,0.383790673,48307
880,0.0830756440943,0.387745015,48862
890,0.0928382859111,0.392752368,49413
900,0.0834160532537,0.397876911,49970
910,0.0859899746368,0.401821581,50512
920,0.0803763361357,0.40575658,51052
930,0.074514847187,0.409603401,51602
940,0.0891380963261,0.413457049,52154
950,0.087077818518,0.417440404,52692
960,0.0878520350194,0.42142774,53239
