iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.120405029273,0.120441458733,0.120374635345,0.759189941453,0.759117082534,0.759250729311,0,0,0,0.090415089
25,0.107113607739,0.109596891186,0.110867296795,0.785775986179,0.780806142035,0.778289574697,0.412786108919,0.407676348548,0.394295302013,1.736624726
50,0.206801054958,0.200029897582,0.201521635026,0.570304251848,0.584452975048,0.579917088899,0.408820810775,0.425272099814,0.418367346939,3.33833594
75,0.181323067143,0.177656451576,0.177896242865,0.619637201267,0.625911708253,0.627974819592,0.409300939037,0.418035234398,0.414026602177,5.088086624
100,0.127078864696,0.130799950952,0.126087474946,0.718111143104,0.70575815739,0.717334561646,0.47233201581,0.470831895064,0.471736011478,6.706329157
125,0.111129310773,0.112205839161,0.111747426631,0.758614070448,0.752207293666,0.756947643175,0.434704427961,0.429013710747,0.422051843739,8.321148691
150,0.126080445574,0.129621349351,0.125100821367,0.720462616374,0.707293666027,0.719791186857,0.472229772583,0.470669906283,0.472695752673,9.890023687
175,0.111140435453,0.112218050939,0.111757393776,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,11.485076067
200,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,13.062724454
225,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,14.651412114
250,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,16.225151675
275,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,17.862737542
300,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,19.423109367
325,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,20.986437702
350,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,22.546984743
375,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,24.120056426
400,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,25.702769625
425,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,27.292592218
450,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,28.858818473
475,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,30.590766943
500,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,32.163391481
525,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,33.739572139
550,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,35.306591991
575,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,36.896820203
600,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,38.498582619
625,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,40.12022767
650,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,41.695588555
675,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,43.282133784
700,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,44.92274898
725,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,46.508587079
750,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,48.159523039
775,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,49.747660013
800,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,51.328304165
825,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,52.906047558
850,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,54.568316907
875,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,56.14621788
900,0.126079630449,0.129620382378,0.125100016535,0.720510605624,0.707293666027,0.719791186857,0.472272562523,0.470669906283,0.472695752673,57.777093138
925,0.111140437009,0.112218052678,0.111757395121,0.758566081198,0.752207293666,0.756947643175,0.434655579279,0.429013710747,0.422473549799,59.38001893
