iterations,fitness,time,fevals
0,23.0,0.001305299,800
10,27.0,0.002418872,1491
20,25.0,0.007502664,2200
30,28.0,0.008326912,2896
40,26.0,0.010419873,3591
50,29.0,0.015328665,4299
60,28.0,0.016149025,4992
70,28.0,0.016979358,5685
80,28.0,0.017746906,6372
90,29.0,0.020721685,7075
100,34.0,0.021583461,7767
110,35.0,0.026492591,8465
120,35.0,0.027338469,9177
130,36.0,0.029326248,9865
140,39.0,0.030155493,10569
150,40.0,0.030933822,11264
160,40.0,0.03170306,11947
170,42.0,0.032488933,12648
180,43.0,0.033273119,13332
190,43.0,0.038160728,14043
200,43.0,0.038973815,14718
210,43.0,0.04661598,15424
220,43.0,0.047398615,16129
230,45.0,0.048142174,16828
240,44.0,0.048973952,17529
250,44.0,0.049802723,18221
260,44.0,0.050578896,18910
270,44.0,0.051408575,19610
280,44.0,0.052196644,20295
290,45.0,0.057029721,20997
300,45.0,0.062027301,21668
310,46.0,0.062804118,22349
320,47.0,0.063595269,23048
330,46.0,0.064449836,23737
340,48.0,0.065253696,24447
350,48.0,0.066068697,25148
360,47.0,0.066888953,25845
370,49.0,0.067727663,26543
380,51.0,0.068567555,27250
390,52.0,0.070649982,27943
400,50.0,0.071472315,28653
410,49.0,0.072250536,29352
420,50.0,0.073025337,30049
430,51.0,0.073877554,30729
440,52.0,0.074683321,31414
450,53.0,0.079520803,32111
460,53.0,0.080588952,32809
470,53.0,0.088304578,33506
480,54.0,0.089061632,34205
490,54.0,0.089815639,34892
500,54.0,0.09072068,35590
510,53.0,0.091451991,36278
520,54.0,0.092188559,36967
530,54.0,0.092975461,37659
540,55.0,0.093753026,38364
550,54.0,0.098631205,39067
560,53.0,0.103423066,39756
570,55.0,0.104166067,40453
580,54.0,0.104873636,41148
590,54.0,0.107942933,41848
600,55.0,0.108682632,42542
610,57.0,0.109451465,43244
620,56.0,0.11035967,43954
630,56.0,0.111098701,44635
640,57.0,0.111847547,45331
650,58.0,0.119059413,46025
660,60.0,0.119819543,46726
670,60.0,0.120548483,47433
680,60.0,0.121350196,48132
690,57.0,0.12212077,48833
700,59.0,0.122852275,49529
710,61.0,0.123570876,50207
720,65.0,0.124301813,50905
730,63.0,0.129596437,51590
740,65.0,0.130325309,52273
750,63.0,0.131071474,52965
760,64.0,0.131799228,53660
770,64.0,0.136566814,54365
780,62.0,0.137289474,55056
790,63.0,0.138011687,55748
800,64.0,0.138791615,56450
810,64.0,0.143629471,57141
820,65.0,0.145528429,57844
830,65.0,0.146260144,58542
840,66.0,0.147002026,59238
850,67.0,0.147747109,59927
860,66.0,0.148445233,60629
870,67.0,0.149163769,61326
880,67.0,0.149872138,62024
890,68.0,0.150620153,62716
900,67.0,0.155385429,63414
910,68.0,0.157373981,64116
920,67.0,0.158114314,64823
930,66.0,0.162903066,65517
940,67.0,0.163620745,66212
950,66.0,0.164358277,66914
960,66.0,0.165064043,67625
970,66.0,0.165818722,68321
980,65.0,0.17060773,69025
990,66.0,0.172554253,69720
1000,69.0,0.173265855,70428
1010,69.0,0.178165959,71125
1020,70.0,0.17896302,71821
1030,74.0,0.179677113,72512
1040,71.0,0.180439235,73209
1050,72.0,0.181189888,73893
1060,71.0,0.186008426,74574
1070,73.0,0.186720893,75260
1080,72.0,0.188731088,75958
1090,73.0,0.189595365,76663
1100,75.0,0.190305295,77359
1110,74.0,0.19106816,78069
1120,74.0,0.191818037,78763
1130,74.0,0.192527371,79458
1140,77.0,0.197349544,80148
1150,73.0,0.198060374,80848
1160,77.0,0.204455454,81545
1170,78.0,0.206381101,82258
1180,75.0,0.207134844,82948
1190,74.0,0.207877411,83646
1200,75.0,0.208672599,84348
1210,74.0,0.209399924,85056
1220,73.0,0.210203103,85738
1230,75.0,0.210957235,86443
1240,73.0,0.215780019,87156
1250,76.0,0.218219904,87838
1260,74.0,0.218962593,88527
1270,72.0,0.227776792,89209
1280,78.0,0.228485783,89906
