iterations,fitness,time,fevals
0,24.0,0.000855435,557
10,26.0,0.001586658,1010
20,25.0,0.010323384,1452
30,25.0,0.010956828,1912
40,25.0,0.011573726,2384
50,27.0,0.012200129,2846
60,29.0,0.0128124,3299
70,29.0,0.017516885,3762
80,31.0,0.022672448,4215
90,31.0,0.023305692,4669
100,32.0,0.023889796,5127
110,32.0,0.024478496,5580
120,33.0,0.025089924,6039
130,34.0,0.025765355,6497
140,35.0,0.032612453,6954
150,34.0,0.033269106,7417
160,32.0,0.037961854,7880
170,34.0,0.040001341,8327
180,33.0,0.040669194,8783
190,34.0,0.045375916,9239
200,34.0,0.045973489,9691
210,34.0,0.046602336,10144
220,37.0,0.047222941,10602
230,37.0,0.047843587,11050
240,38.0,0.052614359,11503
250,37.0,0.054456608,11983
260,42.0,0.055076333,12451
270,41.0,0.055679834,12903
280,44.0,0.060386482,13359
290,44.0,0.06105661,13810
300,45.0,0.061626997,14260
310,47.0,0.062208964,14715
320,48.0,0.062820606,15178
330,47.0,0.06748951,15644
340,48.0,0.069257371,16118
350,49.0,0.069821198,16570
360,49.0,0.070413339,17021
370,49.0,0.071012343,17476
380,52.0,0.07157136,17939
390,50.0,0.072213799,18399
400,51.0,0.072810405,18861
410,51.0,0.073396044,19309
420,51.0,0.078072828,19771
430,51.0,0.079865367,20221
440,51.0,0.08044936,20677
450,52.0,0.081008924,21127
460,52.0,0.085732446,21587
470,53.0,0.086489588,22037
480,54.0,0.087115124,22504
490,54.0,0.087741747,22961
500,53.0,0.08848112,23403
510,54.0,0.093319934,23856
520,55.0,0.095126821,24320
530,55.0,0.095712995,24774
540,54.0,0.100385367,25220
550,55.0,0.100981735,25685
560,54.0,0.101573518,26137
570,54.0,0.102196993,26591
580,54.0,0.102803582,27058
590,54.0,0.103407746,27517
600,55.0,0.104067114,27975
610,53.0,0.105848023,28438
620,57.0,0.106471086,28897
630,53.0,0.107048403,29353
640,52.0,0.111710691,29808
650,53.0,0.112350315,30278
660,54.0,0.11302183,30740
670,54.0,0.113582125,31190
680,55.0,0.114217299,31639
690,55.0,0.12014141,32091
700,55.0,0.120850801,32541
710,55.0,0.121578128,32991
720,56.0,0.122172417,33442
730,56.0,0.122790707,33895
740,55.0,0.12336115,34350
750,55.0,0.123972438,34808
760,57.0,0.124527209,35263
770,56.0,0.125106931,35733
780,57.0,0.131203682,36201
790,56.0,0.131808774,36659
800,54.0,0.132385462,37113
810,56.0,0.132973716,37560
820,54.0,0.137632754,38014
830,55.0,0.138226431,38465
840,56.0,0.13885559,38912
850,55.0,0.139455795,39383
860,56.0,0.140049279,39826
870,57.0,0.146268576,40288
880,57.0,0.146877398,40752
890,57.0,0.147528079,41205
900,57.0,0.149737771,41659
910,53.0,0.150459412,42112
920,53.0,0.151124859,42575
930,55.0,0.155864508,43029
940,56.0,0.156457418,43463
950,55.0,0.157057028,43928
960,56.0,0.158925267,44378
970,56.0,0.159545537,44832
980,55.0,0.160109722,45279
990,56.0,0.160850119,45757
1000,56.0,0.161445079,46215
1010,56.0,0.162032894,46670
1020,57.0,0.162675357,47121
1030,55.0,0.16323106,47574
1040,55.0,0.163847691,48040
1050,56.0,0.170068572,48498
1060,57.0,0.170713706,48964
1070,56.0,0.171399345,49421
1080,56.0,0.172168119,49874
1090,56.0,0.172800014,50328
1100,57.0,0.173362649,50778
1110,57.0,0.173924423,51230
1120,57.0,0.174525745,51679
1130,58.0,0.180566848,52147
1140,58.0,0.181155361,52594
1150,58.0,0.181738355,53051
1160,58.0,0.182330827,53512
1170,58.0,0.186600802,53974
1180,57.0,0.187194719,54436
1190,58.0,0.187767246,54890
1200,59.0,0.188334105,55354
1210,58.0,0.188907023,55810
1220,58.0,0.19547193,56254
1230,57.0,0.196037434,56708
1240,55.0,0.19659309,57147
1250,58.0,0.197190838,57596
1260,57.0,0.201853967,58045
1270,58.0,0.202431893,58512
1280,57.0,0.203021303,58967
1290,58.0,0.203603275,59424
1300,58.0,0.204204409,59869
1310,57.0,0.206342215,60311
1320,55.0,0.206924899,60769
1330,55.0,0.207494703,61221
1340,56.0,0.20808541,61678
1350,54.0,0.212860599,62129
1360,55.0,0.213606721,62582
1370,55.0,0.214407015,63030
1380,57.0,0.215099909,63476
1390,56.0,0.21990764,63942
1400,55.0,0.222181906,64399
1410,57.0,0.222921182,64846
1420,57.0,0.227636516,65302
1430,57.0,0.228365078,65761
1440,58.0,0.229057547,66216
1450,57.0,0.229770578,66676
1460,58.0,0.23224676,67131
1470,58.0,0.232842653,67599
1480,57.0,0.233562583,68060
1490,59.0,0.239730487,68522
1500,61.0,0.240295233,68978
1510,59.0,0.240869839,69436
1520,58.0,0.24549445,69891
1530,58.0,0.246078917,70340
1540,58.0,0.246640982,70794
1550,58.0,0.247203689,71252
1560,59.0,0.247790548,71708
1570,57.0,0.249668807,72163
1580,57.0,0.250284569,72620
1590,58.0,0.250887972,73086
1600,58.0,0.251472929,73551
1610,57.0,0.252070971,74005
1620,57.0,0.256698824,74449
1630,58.0,0.257256131,74899
1640,59.0,0.257795706,75337
1650,59.0,0.25835081,75800
1660,60.0,0.265281821,76244
1670,58.0,0.265853734,76696
1680,58.0,0.266502295,77150
1690,59.0,0.267083014,77604
1700,58.0,0.2676979,78051
1710,59.0,0.268274809,78487
1720,59.0,0.268837649,78948
1730,59.0,0.269400943,79402
1740,59.0,0.270011004,79861
1750,59.0,0.276346746,80316
1760,59.0,0.276902248,80769
1770,58.0,0.27752184,81235
1780,59.0,0.282473915,81692
1790,58.0,0.283056408,82152
1800,58.0,0.283613008,82593
1810,57.0,0.284208139,83045
1820,59.0,0.284821856,83495
1830,59.0,0.285407956,83936
1840,60.0,0.291408519,84384
1850,58.0,0.291963663,84847
1860,58.0,0.292517912,85315
1870,61.0,0.293121605,85755
1880,59.0,0.293701396,86210
1890,59.0,0.294283936,86651
1900,60.0,0.294836308,87090
1910,59.0,0.295498523,87528
1920,60.0,0.296059892,87981
1930,61.0,0.302878505,88424
1940,62.0,0.303463584,88885
1950,62.0,0.304058083,89333
1960,63.0,0.308682575,89790
1970,64.0,0.309343866,90241
1980,63.0,0.309905986,90694
1990,63.0,0.310449598,91146
2000,63.0,0.310985504,91603
2010,62.0,0.316951996,92063
2020,64.0,0.317541734,92526
2030,64.0,0.31813573,92988
2040,64.0,0.318715408,93453
2050,62.0,0.319357261,93908
2060,61.0,0.31991276,94358
2070,62.0,0.320493225,94824
2080,62.0,0.321035506,95284
2090,63.0,0.321605212,95742
2100,64.0,0.328010033,96196
2110,63.0,0.328561471,96633
2120,61.0,0.32913786,97096
2130,59.0,0.329713497,97556
2140,62.0,0.334313357,98011
2150,61.0,0.33486784,98469
2160,62.0,0.335424049,98924
2170,62.0,0.335983326,99386
2180,62.0,0.336559649,99827
2190,62.0,0.34201354,100279
2200,62.0,0.342568986,100725
2210,61.0,0.343153628,101183
2220,62.0,0.343709618,101653
2230,61.0,0.344315996,102106
2240,61.0,0.344928463,102558
2250,62.0,0.34988151,102988
2260,61.0,0.350444176,103445
2270,61.0,0.351003012,103908
2280,61.0,0.358464134,104368
2290,61.0,0.359113753,104826
2300,61.0,0.35968797,105277
2310,62.0,0.360333604,105731
2320,61.0,0.360970258,106193
