iterations,fitness,time,fevals
0,20.0,0.20111408,1000
10,29.0,0.397420991,2100
20,29.0,0.559020845,3200
30,34.0,0.714596952,4300
40,34.0,0.873489575,5400
50,37.0,1.022233208,6500
60,39.0,1.162093273,7600
70,63.0,1.298131537,8700
80,64.0,1.420196716,9800
90,63.0,1.568178707,10900
100,63.0,1.704193208,12000
110,65.0,1.828960673,13100
120,63.0,1.955567221,14200
130,63.0,2.081206386,15300
140,62.0,2.224836957,16400
150,63.0,2.37208966,17500
160,63.0,2.507414418,18600
170,65.0,2.646438459,19700
180,64.0,2.782789348,20800
190,64.0,2.913048194,21900
200,63.0,3.044283608,23000
210,64.0,3.186206293,24100
220,64.0,3.328327991,25200
230,62.0,3.484116668,26300
240,68.0,3.635321365,27400
250,64.0,3.766878803,28500
260,63.0,3.922014985,29600
270,63.0,4.058259768,30700
280,64.0,4.186055735,31800
290,63.0,4.312315067,32900
300,64.0,4.436389692,34000
310,63.0,4.591197497,35100
320,64.0,4.713134562,36200
330,63.0,4.841558893,37300
340,64.0,4.970363314,38400
350,63.0,5.097158706,39500
360,63.0,5.249141959,40600
370,64.0,5.424411852,41700
380,63.0,5.5548199,42800
390,62.0,5.701741032,43900
400,63.0,5.835401583,45000
410,65.0,5.984138353,46100
420,63.0,6.138722566,47200
430,66.0,6.286206293,48300
440,61.0,6.416083342,49400
450,62.0,6.545405912,50500
460,62.0,6.671570397,51600
470,62.0,6.802352759,52700
480,62.0,6.936914898,53800
490,63.0,7.076328835,54900
500,61.0,7.204391322,56000
510,62.0,7.329802646,57100
520,62.0,7.481913829,58200
530,61.0,7.663623954,59300
540,64.0,7.790116928,60400
550,62.0,7.918618794,61500
560,62.0,8.03941102,62600
570,61.0,8.182150718,63700
580,62.0,8.303686416,64800
590,63.0,8.476127765,65900
600,62.0,8.598238639,67000
610,61.0,8.733449565,68100
620,62.0,8.864408291,69200
630,61.0,9.000480093,70300
640,62.0,9.123946438,71400
650,61.0,9.25756457,72500
