iterations,fitness,time,fevals
0,22.0,0.005023435,574
10,26.0,0.009986946,1071
20,29.0,0.010703465,1547
30,27.0,0.011349297,2030
40,27.0,0.016112668,2519
50,28.0,0.016838085,3012
60,29.0,0.017449597,3491
70,29.0,0.018063168,3974
80,32.0,0.018742574,4457
90,34.0,0.023492178,4944
100,30.0,0.025313906,5410
110,33.0,0.025919181,5899
120,35.0,0.026500888,6385
130,37.0,0.027137899,6872
140,37.0,0.027734061,7356
150,38.0,0.028355368,7841
160,37.0,0.028929905,8325
170,37.0,0.029525791,8807
180,38.0,0.036285308,9300
190,42.0,0.037133538,9786
200,39.0,0.037726291,10261
210,42.0,0.042430721,10741
220,45.0,0.043067292,11222
230,45.0,0.043730697,11707
240,43.0,0.044448392,12181
250,43.0,0.045034715,12658
260,45.0,0.045638973,13136
270,44.0,0.05153976,13608
280,44.0,0.052208738,14084
290,44.0,0.052826631,14568
300,44.0,0.053490381,15054
310,43.0,0.05408615,15542
320,43.0,0.054677519,16029
330,45.0,0.055274585,16517
340,46.0,0.055899045,17002
350,46.0,0.05647699,17481
360,46.0,0.062718427,17955
370,45.0,0.063352739,18430
380,45.0,0.063957469,18920
390,45.0,0.064597182,19418
400,45.0,0.069244017,19898
410,43.0,0.069856031,20376
420,43.0,0.070462243,20856
430,44.0,0.071118871,21348
440,45.0,0.071957259,21825
450,44.0,0.072602796,22299
460,45.0,0.07328488,22793
470,45.0,0.073887873,23266
480,44.0,0.0785766449999,23755
490,46.0,0.0791864939999,24253
500,45.0,0.0797750959999,24732
510,46.0,0.0803440739999,25217
520,44.0,0.0809746049999,25695
530,44.0,0.0828198559999,26174
540,44.0,0.0834361709999,26668
550,44.0,0.0840729359999,27149
560,46.0,0.0846597689999,27630
570,45.0,0.085243624,28118
580,45.0,0.090220775,28620
590,44.0,0.090876121,29116
600,45.0,0.091462595,29596
610,44.0,0.092052122,30075
620,45.0,0.099006364,30560
630,44.0,0.099607075,31036
640,45.0,0.100424822,31518
650,47.0,0.101049431,32011
660,46.0,0.101708869,32501
670,45.0,0.102302368,32980
680,45.0,0.1028998,33460
690,46.0,0.103538645,33951
700,49.0,0.104146652,34440
710,49.0,0.110378902,34925
720,49.0,0.111000073,35403
730,49.0,0.11160092,35884
740,49.0,0.112266789,36380
750,49.0,0.116968023,36851
760,49.0,0.11757944,37327
770,49.0,0.118197074,37799
780,49.0,0.118780187,38274
790,49.0,0.125304151,38773
800,49.0,0.125892414,39253
810,49.0,0.126475945,39737
820,49.0,0.127066306,40221
830,50.0,0.127673114,40697
840,49.0,0.128245232,41178
850,50.0,0.128820139,41652
860,49.0,0.12941935,42142
870,49.0,0.130079014,42634
880,49.0,0.134495648,43113
890,49.0,0.135095617,43580
900,48.0,0.137021225,44068
910,48.0,0.137618822,44538
920,48.0,0.138260276,45019
930,48.0,0.138856789,45501
940,48.0,0.139474781,45984
950,48.0,0.140135019,46465
960,49.0,0.140754658,46952
970,48.0,0.142797518,47434
980,49.0,0.143410861,47914
990,49.0,0.144005397,48397
1000,49.0,0.144675048,48881
1010,49.0,0.145289946,49369
1020,49.0,0.145959333,49842
1030,49.0,0.150678768,50324
1040,49.0,0.151329088,50812
1050,49.0,0.152011908,51293
1060,49.0,0.157228588,51774
1070,48.0,0.157915549,52268
1080,48.0,0.158502205,52735
1090,48.0,0.159098958,53227
1100,48.0,0.159739345,53696
1110,49.0,0.160334912,54185
1120,49.0,0.16101674,54663
1130,50.0,0.169711423,55147
1140,49.0,0.174159817,55620
1150,50.0,0.174775468,56099
1160,50.0,0.175416261,56574
1170,50.0,0.176044706,57056
1180,51.0,0.18079317,57535
1190,52.0,0.181397522,58013
1200,52.0,0.182033492,58498
1210,51.0,0.182642747,58973
1220,51.0,0.183260375,59449
1230,52.0,0.185554267,59930
1240,53.0,0.186134528,60417
1250,52.0,0.186725816,60891
1260,52.0,0.187298384,61374
1270,53.0,0.191943985,61846
1280,54.0,0.192533577,62324
1290,53.0,0.193122254,62797
1300,55.0,0.19371921,63276
1310,53.0,0.194424493,63753
1320,55.0,0.201029474,64237
1330,54.0,0.201671999,64728
1340,53.0,0.202271294,65219
1350,59.0,0.20290232,65697
1360,58.0,0.203489057,66185
1370,58.0,0.204062365,66673
1380,56.0,0.204642922,67158
1390,58.0,0.205250676,67637
1400,54.0,0.205876757,68118
1410,56.0,0.211916227,68603
1420,56.0,0.21255814,69083
1430,57.0,0.213147128,69569
1440,57.0,0.213775838,70053
1450,58.0,0.214404064,70533
1460,57.0,0.215000515,71020
1470,65.0,0.217702464,71498
1480,73.0,0.218317027,71972
1490,73.0,0.219979552,72449
1500,73.0,0.220602422,72934
1510,73.0,0.22119828,73416
1520,73.0,0.221779843,73895
1530,73.0,0.222344379,74384
1540,74.0,0.222918353,74851
1550,74.0,0.223496394,75346
1560,75.0,0.224079717,75835
1570,74.0,0.224721262,76326
1580,74.0,0.226730177,76788
1590,74.0,0.227546386,77267
1600,75.0,0.228457075,77746
1610,75.0,0.229049425,78229
1620,75.0,0.22959979,78713
1630,75.0,0.230143915,79196
1640,75.0,0.230697568,79680
1650,75.0,0.231241507,80155
1660,78.0,0.231820749,80640
1670,74.0,0.241370713,81117
1680,74.0,0.241927481,81590
1690,74.0,0.242547178,82084
1700,74.0,0.243115097,82557
1710,74.0,0.24373225,83037
1720,75.0,0.244335431,83517
1730,75.0,0.244935859,83994
1740,76.0,0.245490452,84476
1750,75.0,0.246058659,84961
1760,77.0,0.252872692,85444
1770,74.0,0.253517925,85916
1780,74.0,0.254109261,86401
1790,74.0,0.254698539,86868
1800,74.0,0.259437096,87354
1810,74.0,0.260146389,87838
1820,76.0,0.260824273,88319
1830,75.0,0.261376993,88811
1840,75.0,0.263089306,89298
1850,75.0,0.263682102,89791
1860,73.0,0.264239229,90264
1870,73.0,0.264855109,90745
1880,74.0,0.265629463,91216
1890,74.0,0.270367304,91705
1900,73.0,0.270911181,92178
1910,74.0,0.271503702,92665
1920,74.0,0.272062562,93150
1930,74.0,0.279444151,93637
1940,74.0,0.280025524,94118
1950,74.0,0.280608128,94589
1960,74.0,0.281257439,95066
1970,73.0,0.281818533,95532
1980,74.0,0.282383585,96019
1990,73.0,0.282944411,96498
2000,72.0,0.283484717,96970
2010,72.0,0.284137223,97451
2020,72.0,0.290356906,97923
