iterations,fitness,time,fevals
0,23.0,0.21455575,1000
10,28.0,0.385140667,2100
20,29.0,0.523115392,3200
30,26.0,0.653397557,4300
40,27.0,0.790471779,5400
50,31.0,0.914713728,6500
60,27.0,1.031524091,7600
70,38.0,1.157719391,8700
80,28.0,1.277328776,9800
90,28.0,1.420300938,10900
100,26.0,1.548896265,12000
110,27.0,1.663871399,13100
120,25.0,1.803568834,14200
130,30.0,1.93361297,15300
140,30.0,2.059447463,16400
150,31.0,2.194246696,17500
160,41.0,2.321981645,18600
170,41.0,2.449034793,19700
180,42.0,2.566194414,20800
190,40.0,2.68953176,21900
200,31.0,2.814037679,23000
210,41.0,2.950766687,24100
220,36.0,3.064999132,25200
230,39.0,3.190887743,26300
240,30.0,3.314078174,27400
250,30.0,3.428241039,28500
260,31.0,3.54121455,29600
270,30.0,3.652007974,30700
280,30.0,3.772338151,31800
290,43.0,3.89039338,32900
300,42.0,4.008801411,34000
310,42.0,4.124706004,35100
320,32.0,4.245328147,36200
330,32.0,4.361064002,37300
340,31.0,4.475314459,38400
350,30.0,4.599078243,39500
360,31.0,4.717074431,40600
370,32.0,4.838091481,41700
380,31.0,4.950009595,42800
390,32.0,5.05875292,43900
400,31.0,5.207904366,45000
410,30.0,5.357238443,46100
420,32.0,5.481753376,47200
430,32.0,5.625192972,48300
440,31.0,5.762545405,49400
450,31.0,5.88138895,50500
460,31.0,5.996750939,51600
470,32.0,6.125877482,52700
480,32.0,6.24217961,53800
490,31.0,6.368437635,54900
500,31.0,6.481821667,56000
510,31.0,6.613455853,57100
520,31.0,6.732508767,58200
530,30.0,6.853888939,59300
540,31.0,6.963539464,60400
550,31.0,7.076977683,61500
560,33.0,7.196347278,62600
570,33.0,7.347065439,63700
580,32.0,7.512907938,64800
590,41.0,7.666277235,65900
600,41.0,7.778003569,67000
610,40.0,7.893558504,68100
620,31.0,8.014652809,69200
630,30.0,8.140622493,70300
640,32.0,8.269785208,71400
650,32.0,8.390219027,72500
660,31.0,8.511288946,73600
670,31.0,8.640658665,74700
680,31.0,8.761745268,75800
690,31.0,8.883358929,76900
700,31.0,8.996189277,78000
710,31.0,9.115141493,79100
720,31.0,9.233171504,80200
730,31.0,9.356588052,81300
740,38.0,9.474843779,82400
750,32.0,9.589202395,83500
760,31.0,9.701460901,84600
770,31.0,9.814451179,85700
780,31.0,9.933503421,86800
790,31.0,10.045891331,87900
800,31.0,10.171364838,89000
810,30.0,10.293045083,90100
820,32.0,10.401921455,91200
830,31.0,10.516389188,92300
840,31.0,10.633471036,93400
850,32.0,10.755194744,94500
860,31.0,10.872251509,95600
870,32.0,11.015297765,96700
880,31.0,11.132240719,97800
890,31.0,11.242713649,98900
900,30.0,11.353313534,100000
910,32.0,11.46843825,101100
920,30.0,11.593244605,102200
930,31.0,11.706749298,103300
940,31.0,11.852108217,104400
950,32.0,11.965054833,105500
960,31.0,12.079937305,106600
970,30.0,12.194699462,107700
980,31.0,12.30678245,108800
990,35.0,12.428545847,109900
1000,31.0,12.54526951,111000
1010,31.0,12.663730556,112100
1020,31.0,12.774850683,113200
1030,31.0,12.891723762,114300
1040,31.0,13.006527964,115400
1050,31.0,13.146376658,116500
1060,30.0,13.258598844,117600
1070,31.0,13.373752809,118700
1080,35.0,13.487925835,119800
1090,32.0,13.622851633,120900
1100,35.0,13.741851104,122000
1110,32.0,13.85883481,123100
1120,33.0,13.969016626,124200
1130,34.0,14.101672265,125300
1140,33.0,14.22239693,126400
1150,33.0,14.34232793,127500
1160,35.0,14.459943895,128600
1170,34.0,14.58559818,129700
1180,42.0,14.709339852,130800
1190,35.0,14.855307667,131900
1200,36.0,15.000291821,133000
1210,34.0,15.112630628,134100
1220,36.0,15.226926956,135200
1230,35.0,15.348173055,136300
1240,36.0,15.482913974,137400
1250,43.0,15.596349533,138500
1260,35.0,15.71874967,139600
1270,36.0,15.845450892,140700
1280,43.0,15.966877322,141800
1290,44.0,16.090536938,142900
1300,44.0,16.209676991,144000
1310,43.0,16.335972129,145100
1320,36.0,16.460346857,146200
1330,36.0,16.58368498,147300
1340,36.0,16.721998717,148400
1350,36.0,16.852469015,149500
1360,35.0,16.987146656,150600
1370,36.0,17.104171624,151700
1380,39.0,17.228578106,152800
1390,42.0,17.344486338,153900
1400,36.0,17.471027459,155000
1410,36.0,17.601627069,156100
1420,37.0,17.737973075,157200
1430,37.0,17.869355088,158300
1440,36.0,17.993190373,159400
1450,36.0,18.117161462,160500
1460,44.0,18.236377769,161600
1470,36.0,18.349725861,162700
1480,35.0,18.469322987,163800
1490,44.0,18.58581738,164900
1500,44.0,18.700738775,166000
1510,44.0,18.823338348,167100
1520,36.0,18.938954117,168200
1530,35.0,19.048284876,169300
1540,36.0,19.158940237,170400
1550,43.0,19.276844211,171500
1560,44.0,19.392835178,172600
1570,36.0,19.519887412,173700
1580,35.0,19.635979217,174800
1590,37.0,19.771048477,175900
1600,36.0,19.886671275,177000
1610,35.0,20.011042697,178100
1620,36.0,20.12831143,179200
1630,36.0,20.249380721,180300
1640,36.0,20.389186702,181400
1650,35.0,20.500948017,182500
1660,44.0,20.634526257,183600
1670,37.0,20.770564012,184700
1680,36.0,20.89599223,185800
1690,44.0,21.016472152,186900
1700,42.0,21.137028182,188000
1710,36.0,21.252612309,189100
1720,43.0,21.370531429,190200
1730,58.0,21.492954891,191300
1740,36.0,21.616001073,192400
1750,37.0,21.732749907,193500
1760,37.0,21.859258654,194600
1770,36.0,21.983977307,195700
1780,37.0,22.098350922,196800
1790,44.0,22.217860053,197900
1800,35.0,22.343012345,199000
1810,45.0,22.46166174,200100
1820,44.0,22.579376371,201200
1830,61.0,22.693411428,202300
1840,45.0,22.813275979,203400
1850,61.0,22.929492131,204500
1860,61.0,23.042095553,205600
1870,61.0,23.155967495,206700
1880,45.0,23.28152377,207800
1890,61.0,23.395976049,208900
1900,44.0,23.513398888,210000
1910,45.0,23.630179801,211100
1920,44.0,23.761574918,212200
1930,44.0,23.892288973,213300
1940,57.0,24.005497558,214400
1950,44.0,24.153052581,215500
1960,61.0,24.269696653,216600
1970,44.0,24.392182004,217700
1980,55.0,24.52515127,218800
1990,57.0,24.643941737,219900
2000,44.0,24.753207842,221000
2010,44.0,24.879621114,222100
2020,45.0,24.995313643,223200
2030,44.0,25.130458599,224300
2040,46.0,25.277900769,225400
2050,53.0,25.428270982,226500
2060,44.0,25.543915015,227600
2070,45.0,25.660406355,228700
2080,45.0,25.789511281,229800
2090,45.0,25.907424674,230900
2100,45.0,26.024659759,232000
2110,55.0,26.138685663,233100
2120,56.0,26.260525104,234200
2130,45.0,26.393542467,235300
2140,44.0,26.534420205,236400
2150,45.0,26.659834658,237500
2160,45.0,26.77062715,238600
2170,45.0,26.895852983,239700
2180,45.0,27.022792036,240800
2190,44.0,27.143962495,241900
2200,44.0,27.262429445,243000
2210,45.0,27.397603951,244100
2220,45.0,27.544518209,245200
2230,44.0,27.70420139,246300
2240,45.0,27.875539605,247400
2250,45.0,27.999328009,248500
2260,45.0,28.123323896,249600
2270,44.0,28.234148896,250700
2280,44.0,28.343134336,251800
2290,45.0,28.46129882,252900
2300,44.0,28.578746835,254000
2310,44.0,28.704439942,255100
2320,44.0,28.83048632,256200
2330,45.0,28.976975844,257300
2340,44.0,29.093593453,258400
2350,45.0,29.214560174,259500
2360,45.0,29.338474497,260600
2370,45.0,29.496102262,261700
2380,44.0,29.618488923,262800
2390,44.0,29.736325627,263900
2400,45.0,29.862815231,265000
2410,44.0,29.986341015,266100
2420,45.0,30.10442755,267200
2430,45.0,30.223206929,268300
2440,45.0,30.332345105,269400
2450,45.0,30.459913743,270500
2460,45.0,30.577840475,271600
2470,45.0,30.694703067,272700
2480,45.0,30.814465346,273800
2490,46.0,30.932698788,274900
2500,45.0,31.048970012,276000
2510,45.0,31.161725723,277100
2520,45.0,31.277212857,278200
2530,45.0,31.395103566,279300
2540,44.0,31.514400772,280400
2550,45.0,31.642043871,281500
2560,45.0,31.758142994,282600
2570,44.0,31.868466683,283700
2580,45.0,31.985734061,284800
2590,45.0,32.110789908,285900
2600,45.0,32.221039299,287000
2610,45.0,32.332106313,288100
2620,44.0,32.44123738,289200
2630,45.0,32.549066255,290300
2640,45.0,32.666358314,291400
2650,45.0,32.784710127,292500
2660,45.0,32.924551067,293600
2670,45.0,33.042834884,294700
2680,44.0,33.172966391,295800
2690,45.0,33.28791145,296900
2700,45.0,33.442589919,298000
2710,45.0,33.559528941,299100
2720,45.0,33.675105264,300200
2730,45.0,33.784592123,301300
2740,45.0,33.902446587,302400
2750,44.0,34.017745121,303500
2760,44.0,34.141079504,304600
2770,44.0,34.254061047,305700
2780,45.0,34.37147996,306800
2790,44.0,34.495325518,307900
2800,45.0,34.640208964,309000
2810,45.0,34.758844714,310100
2820,45.0,34.878263285,311200
2830,45.0,34.996106724,312300
2840,46.0,35.117801647,313400
2850,44.0,35.251730905,314500
2860,45.0,35.369655758,315600
2870,45.0,35.486536337,316700
2880,46.0,35.604788513,317800
2890,45.0,35.753077897,318900
2900,45.0,35.916908245,320000
2910,45.0,36.069241763,321100
2920,46.0,36.178427167,322200
2930,45.0,36.294255949,323300
2940,45.0,36.399537661,324400
2950,46.0,36.515355397,325500
2960,45.0,36.628461382,326600
2970,45.0,36.757935735,327700
2980,45.0,36.884482601,328800
2990,46.0,36.993757565,329900
3000,45.0,37.105849377,331000
3010,45.0,37.220330715,332100
3020,45.0,37.335036758,333200
3030,45.0,37.456318459,334300
3040,45.0,37.578115374,335400
3050,45.0,37.696342719,336500
3060,45.0,37.805028451,337600
3070,45.0,37.922822267,338700
3080,46.0,38.052966889,339800
3090,45.0,38.175742947,340900
3100,46.0,38.291253081,342000
3110,46.0,38.40770031,343100
3120,46.0,38.518996179,344200
3130,45.0,38.629750133,345300
3140,45.0,38.745541206,346400
3150,45.0,38.860619755,347500
3160,45.0,38.976614877,348600
3170,45.0,39.087102168,349700
3180,45.0,39.203520897,350800
3190,46.0,39.316627695,351900
3200,45.0,39.433889765,353000
3210,46.0,39.549210974,354100
3220,45.0,39.66751745,355200
3230,45.0,39.780677711,356300
