iterations,fitness,time,fevals
0,21.0,0.000796971,461
10,20.0,0.001418501,828
20,21.0,0.008571207,1193
30,20.0,0.009184182,1553
40,20.0,0.009752458,1924
50,21.0,0.010319814,2288
60,21.0,0.010904626,2653
70,21.0,0.011477072,3022
80,22.0,0.012931184,3388
90,22.0,0.013467348,3744
100,24.0,0.019225541,4103
110,24.0,0.019797781,4471
120,23.0,0.020361456,4833
130,21.0,0.020884981,5205
140,22.0,0.0214458,5575
150,22.0,0.026041951,5951
160,22.0,0.02657897,6318
170,22.0,0.027099109,6690
180,23.0,0.027640325,7055
190,22.0,0.029413929,7419
200,23.0,0.029983265,7784
210,23.0,0.030504553,8149
220,22.0,0.03102907,8523
230,22.0,0.031536483,8888
240,23.0,0.032054497,9261
250,22.0,0.032644066,9626
260,23.0,0.037250083,9997
270,23.0,0.037795287,10362
280,23.0,0.050377239,10731
290,23.0,0.050949452,11098
300,23.0,0.051515055,11466
310,23.0,0.05632069,11828
320,24.0,0.056914184,12199
330,24.0,0.057495543,12569
340,24.0,0.058171633,12932
350,24.0,0.058777255,13306
360,24.0,0.059324335,13677
370,24.0,0.063800292,14042
380,24.0,0.064487262,14412
390,24.0,0.065000645,14779
400,24.0,0.069613136,15145
410,25.0,0.07017656,15506
420,25.0,0.070686738,15879
430,26.0,0.071343522,16247
440,32.0,0.071909035,16613
450,32.0,0.073655849,16975
460,33.0,0.074224321,17341
470,32.0,0.074733003,17701
480,32.0,0.075281543,18071
490,32.0,0.07982837,18438
500,32.0,0.080412168,18804
510,32.0,0.080941816,19169
520,33.0,0.081473124,19531
530,32.0,0.081986813,19899
540,32.0,0.088757993,20269
550,33.0,0.089267131,20626
560,32.0,0.08983292,20997
570,33.0,0.090370555,21365
580,33.0,0.095060526,21734
590,33.0,0.095617918,22102
600,32.0,0.096128239,22465
610,32.0,0.096655244,22842
620,33.0,0.097208916,23210
630,33.0,0.100099559,23577
640,33.0,0.100611317,23950
650,33.0,0.101131395,24315
660,34.0,0.101780391,24680
670,34.0,0.106478298,25048
680,34.0,0.107002419,25415
690,40.0,0.107580517,25787
700,40.0,0.108246749,26153
710,42.0,0.109958312,26518
720,43.0,0.110523206,26885
730,43.0,0.111127668,27254
740,43.0,0.111787076,27618
750,43.0,0.112330482,27981
760,43.0,0.112864848,28348
770,44.0,0.11341962,28710
780,44.0,0.113965833,29075
790,44.0,0.12258646,29443
800,45.0,0.124802583,29806
810,45.0,0.125310177,30170
820,45.0,0.125953295,30536
830,46.0,0.130576447,30907
840,46.0,0.131093474,31275
850,46.0,0.131656449,31640
860,46.0,0.13215939,32010
870,46.0,0.132687668,32373
880,46.0,0.13330744,32741
890,45.0,0.146988209,33114
900,45.0,0.147538102,33479
910,45.0,0.14807418,33847
920,45.0,0.148626383,34208
930,46.0,0.153267395,34574
940,46.0,0.153792384,34943
950,46.0,0.154321632,35313
960,45.0,0.154852696,35672
970,46.0,0.155419979,36044
980,47.0,0.160140633,36419
990,49.0,0.164740749,36780
1000,47.0,0.165281163,37151
1010,47.0,0.165800031,37511
1020,47.0,0.166338628,37877
1030,47.0,0.166916247,38239
1040,48.0,0.167564621,38604
1050,47.0,0.180199985,38969
1060,47.0,0.181931068,39332
1070,47.0,0.182460451,39697
1080,47.0,0.183015631,40055
1090,47.0,0.185377058,40416
1100,47.0,0.187435664,40776
1110,47.0,0.188040716,41142
1120,46.0,0.188584582,41513
1130,47.0,0.189097491,41884
1140,46.0,0.189623042,42245
1150,47.0,0.199172964,42609
1160,47.0,0.199713757,42979
1170,47.0,0.200234034,43349
1180,47.0,0.200745303,43708
1190,47.0,0.201267845,44085
1200,47.0,0.201794324,44453
1210,47.0,0.202354412,44828
1220,47.0,0.202929499,45202
1230,48.0,0.203530181,45560
1240,48.0,0.209375079,45924
1250,49.0,0.20997247,46296
1260,49.0,0.210504833,46655
1270,49.0,0.211080597,47022
1280,48.0,0.211625772,47381
1290,48.0,0.212131819,47754
1300,48.0,0.212649473,48124
1310,48.0,0.21315547,48494
1320,49.0,0.213716222,48868
1330,50.0,0.215467275,49235
1340,50.0,0.215982501,49599
1350,50.0,0.2165118,49967
1360,50.0,0.217015464,50335
1370,50.0,0.217522779,50706
1380,51.0,0.218046344,51075
1390,50.0,0.222480987,51439
1400,51.0,0.226416508,51804
1410,51.0,0.228103117,52169
1420,50.0,0.228633155,52527
1430,50.0,0.229145652,52899
1440,53.0,0.229722011,53271
1450,53.0,0.230292008,53637
1460,53.0,0.230805659,54002
1470,53.0,0.231338758,54376
1480,53.0,0.231884454,54747
1490,53.0,0.232419195,55117
1500,53.0,0.234154719,55488
1510,54.0,0.234703944,55854
1520,55.0,0.23523751,56219
1530,54.0,0.235770148,56578
1540,54.0,0.236333787,56944
1550,54.0,0.241371562,57309
1560,55.0,0.241943304,57675
1570,54.0,0.242465041,58043
1580,55.0,0.243011056,58415
1590,55.0,0.245975827,58780
1600,54.0,0.246493299,59149
1610,54.0,0.246990223,59515
1620,54.0,0.247498496,59883
1630,55.0,0.248015774,60244
1640,54.0,0.25261705,60606
1650,55.0,0.253156129,60982
1660,55.0,0.253684692,61342
1670,55.0,0.257041936,61705
1680,55.0,0.257562225,62076
1690,55.0,0.258086306,62440
1700,56.0,0.258623089,62808
1710,56.0,0.259166603,63173
1720,55.0,0.263774239,63537
1730,54.0,0.264312713,63904
1740,55.0,0.264820442,64271
1750,55.0,0.265340236,64632
1760,55.0,0.268620113,64997
1770,55.0,0.269151866,65365
1780,54.0,0.269675065,65733
1790,55.0,0.270190102,66099
1800,55.0,0.270729305,66464
1810,54.0,0.275317293,66826
1820,55.0,0.2758276,67183
1830,55.0,0.276363223,67550
1840,55.0,0.27690881,67911
1850,55.0,0.280370316,68279
1860,55.0,0.281051883,68650
1870,54.0,0.281555026,69012
1880,54.0,0.282110752,69380
1890,54.0,0.282665422,69747
1900,55.0,0.28318405,70115
1910,54.0,0.283705476,70483
1920,55.0,0.284241685,70852
1930,55.0,0.284899684,71216
1940,55.0,0.291175226,71582
1950,55.0,0.291706206,71955
1960,55.0,0.29222337,72313
1970,55.0,0.292743576,72674
1980,54.0,0.293395124,73044
1990,54.0,0.293968623,73418
2000,55.0,0.294500324,73779
2010,54.0,0.295007169,74148
2020,55.0,0.302243079,74521
2030,54.0,0.302795419,74897
2040,55.0,0.303292728,75260
2050,55.0,0.303834475,75626
2060,55.0,0.304365001,75991
2070,55.0,0.304905004,76351
2080,56.0,0.305407601,76710
2090,56.0,0.305942773,77069
2100,56.0,0.306501762,77432
2110,55.0,0.312984081,77799
2120,56.0,0.313482568,78169
2130,56.0,0.313977495,78534
2140,57.0,0.314483645,78905
2150,57.0,0.315135052,79278
2160,57.0,0.319718904,79649
2170,58.0,0.320271776,80018
2180,57.0,0.320811869,80379
2190,57.0,0.321331835,80747
2200,57.0,0.323011411,81119
2210,57.0,0.323717137,81485
2220,57.0,0.324273878,81853
2230,57.0,0.324785757,82221
2240,57.0,0.325316743,82589
2250,58.0,0.325816887,82963
2260,57.0,0.330440908,83333
2270,59.0,0.331006268,83694
2280,60.0,0.331528604,84065
